2024-04-15: Replaced: 180, skipped: 0, added new: 46, added affiliation: 640, new unknown: 0
2024-04-22: Replaced: 92, skipped: 14, added new: 24, added affiliation: 306, new unknown: 0
2024-04-22: Replaced: 18, skipped: 0, added new: 24, added affiliation: 75, new unknown: 0
2024-04-25: Replaced: 58, skipped: 0, added new: 106, added affiliation: 199, new unknown: 0
2024-05-01: Replaced: 86, skipped: 0, added new: 169, added affiliation: 343, new unknown: 0
2024-05-07: Replaced: 68, skipped: 0, added new: 126, added affiliation: 275, new unknown: 0
2024-05-10: Replaced: 29, skipped: 0, added new: 85, added affiliation: 107, new unknown: 0
2024-05-13: Replaced: 11, skipped: 0, added new: 16, added affiliation: 29, new unknown: 0
2024-05-16: Replaced: 12, skipped: 0, added new: 22, added affiliation: 44, new unknown: 0
2024-05-16: Replaced: 30, skipped: 1, added new: 1, added affiliation: 84, new unknown: 0
2024-05-24: Replaced: 125, skipped: 7, added new: 205, added affiliation: 540, new unknown: 0
2024-05-27: Replaced: 15, skipped: 0, added new: 40, added affiliation: 60, new unknown: 0
2024-06-14: Replaced: 113, skipped: 0, added new: 254, added affiliation: 440, new unknown: 0
2024-06-17: Replaced: 25, skipped: 0, added new: 55, added affiliation: 104, new unknown: 0
2024-06-21: Replaced: 79, skipped: 0, added new: 177, added affiliation: 283, new unknown: 0
2024-06-24: Replaced: 20, skipped: 0, added new: 39, added affiliation: 79, new unknown: 0
2024-07-01: Replaced: 64, skipped: 0, added new: 158, added affiliation: 266, new unknown: 0
2024-07-05: Replaced: 83, skipped: 0, added new: 205, added affiliation: 349, new unknown: 0
2024-07-15: Replaced: 112, skipped: 0, added new: 238, added affiliation: 439, new unknown: 0
2024-07-19: Replaced: 39, skipped: 0, added new: 55, added affiliation: 154, new unknown: 0
2024-07-26: Replaced: 52, skipped: 0, added new: 88, added affiliation: 178, new unknown: 0
2024-08-02: Replaced: 118, skipped: 0, added new: 177, added affiliation: 449, new unknown: 0
2024-08-05: Replaced: 27, skipped: 0, added new: 47, added affiliation: 101, new unknown: 0
